NUTS_CODE,NUTS_BN_CODE
FRY40,1
FR,1
FRY,1
FRY4,1
FRY50,2
FR,2
FRY,2
FRY5,2
FRY30,3
FR,3
FRY,3
FRY3,3
FRY20,4
FR,4
FRY,4
FRY2,4
FRY10,5
FR,5
FRY,5
FRY1,5
FRY10,6
FR,6
FRY,6
FRY1,6
FRY10,7
FR,7
FRY,7
FRY1,7
ES703,8
ES,8
ES7,8
ES70,8
ES705,9
ES,9
ES7,9
ES70,9
ES706,10
ES,10
ES7,10
ES70,10
ES709,11
ES,11
ES7,11
ES70,11
ES704,12
ES,12
ES7,12
ES70,12
ES707,13
ES,13
ES7,13
ES70,13
ES708,14
ES,14
ES7,14
ES70,14
PT300,15
PT,15
PT3,15
PT30,15
PT300,16
PT,16
PT3,16
PT30,16
PT300,17
PT,17
PT3,17
PT30,17
EL434,18
EL,18
EL4,18
EL43,18
EL431,19
EL,19
EL4,19
EL43,19
EL433,20
EL,20
EL4,20
EL43,20
EL431,21
EL432,21
EL,21
EL,21
EL4,21
EL4,21
EL43,21
EL43,21
EL432,22
EL,22
EL4,22
EL43,22
ES640,23
ES,23
ES6,23
ES64,23
EL433,24
EL434,24
EL,24
EL,24
EL4,24
EL4,24
EL43,24
EL43,24
EL433,25
EL,25
EL4,25
EL43,25
EL431,26
EL433,26
EL,26
EL,26
EL4,26
EL4,26
EL43,26
EL43,26
EL431,27
EL,27
EL4,27
EL43,27
EL421,28
EL,28
EL4,28
EL42,28
EL434,29
EL,29
EL4,29
EL43,29
CY000,30
CY,30
CY0,30
CY00,30
EL421,31
EL,31
EL4,31
EL42,31
ITG14,32
IT,32
ITG,32
ITG1,32
ES630,33
ES,33
ES6,33
ES63,33
MT001,34
MT,34
MT0,34
MT00,34
MT002,35
MT,35
MT0,35
MT00,35
TR611,36
TR622,36
TR,36
TR,36
TR6,36
TR6,36
TR61,36
TR62,36
EL307,37
EL,37
EL3,37
EL30,37
EL421,38
EL,38
EL4,38
EL42,38
EL422,39
EL,39
EL4,39
EL42,39
EL422,40
EL,40
EL4,40
EL42,40
EL421,41
EL,41
EL4,41
EL42,41
ES612,42
ES617,42
ES,42
ES,42
ES6,42
ES6,42
ES61,42
ES61,42
